長野高専敷地内にあるスパナ池は本当にスパナの形をしているわけではない。,0
全国の高専で最も偏差値が高い明石高専の偏差値は70を超えている。,0
高専には専用の通学バスがある。,1
長野高専にはプールがない。,1
長野高専には体育館が3つある。,0
長野高専の職員室は一階にある。,0
長野高専の図書館には漫画が置いてある。,1
長野高専の購買にはアイスクリームが置かれていない。,0
長野高専の正面玄関には大きなモニュメントが置いてあるが、それはスパナの形をしたものである。,0
長野高専の教授の研究室は個性豊かであるが、フィギュアをおいてあるところもある。,1
長野高専では学食は販売されていない。,0
長野高専には普段全く使用しないが制服がある。,0
長野高専では最終成績ごとにA、B、C、Dとランクを付けるが、Aランクは全体の上位25％以内の人のことである。,1
長野高専の赤点は60点未満のことである。,1
長野高専にはかつて5つの学科があった。最近変更され「系」という分類になったが、それでも種類は5つである。,0
長野高専には敷地内で自転車を乗ってはいけないという校則がある。,0
長野高専にはアナログの学生証がなく、スマホで対応できるようなシステムが導入されている。,0
長野高専は技術者を養成する目的があるため、英語は習うが地理や歴史、国語などの文系は一年生しか習わない。,0
高専は留年してしまったとき、大学と同じように足りなかった単位を取れば進級できる。,0
長野高専の寮は5棟以上ある。,1
長野高専では1～4年生まで体育の授業があるが、どの学年も一週間に2コマ以上ある。,0
IE系の正式名称は国際エレクトロニクス系である。,0
CE系の正式名称は都市デザイン系である。,1
MR系の正式名称は機械ラジコン系である。,0
長野高専では呪術が学べる。,0